"","title","dataset_citation","publication_citation","description","url","contact_name","contact_affiliation","email","orcid","dataset_license","project_identifier","publication_status","taxon","location_description","study_collection_area","geo_datum","gps_obfuscation_info","species_id_method","study_design","sampling_strategy","sampling_method","sampling_protocol","measurement_unit","value_transform","sample_start_date","sample_start_time","sample_end_date","sample_end_time","sample_value","sample_sex","sample_stage","sample_location","sample_collection_area","sample_lat_dd","sample_long_dd","sample_environment","additional_location_info","additional_sample_info","sample_name"
"1622290","Mosquito surveillance in South Walton County, Florida, USA. 2015","DOI:10.5281/zenodo.1220173,https://southwaltonmosquitocontrol.org/",NA,"Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Peter J Brabant;Peter J Brabant III",NA,NA,NA,"CC BY","VBP0000263","unpublished","Culex erraticus","Walton County",NA,NA,NA,NA,NA,NA,"light","new jersey trap catch",NA,NA,NA,NA,2015-01-05,NA,0,"female","adult","Walton County",NA,30.3813,-86.3593,NA,NA,NA,NA
"1622343","Mosquito surveillance in South Walton County, Florida, USA. 2015","DOI:10.5281/zenodo.1220173,https://southwaltonmosquitocontrol.org/",NA,"Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Peter J Brabant;Peter J Brabant III",NA,NA,NA,"CC BY","VBP0000263","unpublished","Culex erraticus","Walton County",NA,NA,NA,NA,NA,NA,"light","new jersey trap catch",NA,NA,NA,NA,2015-01-05,NA,0,"female","adult","Walton County",NA,30.3892,-86.089,NA,NA,NA,NA
"1622380","Mosquito surveillance in South Walton County, Florida, USA. 2015","DOI:10.5281/zenodo.1220173,https://southwaltonmosquitocontrol.org/",NA,"Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Peter J Brabant;Peter J Brabant III",NA,NA,NA,"CC BY","VBP0000263","unpublished","Culex erraticus","Walton County",NA,NA,NA,NA,NA,NA,"light","new jersey trap catch",NA,NA,NA,NA,2015-01-05,NA,0,"female","adult","Walton County",NA,30.3469,-86.0694,NA,NA,NA,NA
"1622410","Mosquito surveillance in South Walton County, Florida, USA. 2015","DOI:10.5281/zenodo.1220173,https://southwaltonmosquitocontrol.org/",NA,"Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Peter J Brabant;Peter J Brabant III",NA,NA,NA,"CC BY","VBP0000263","unpublished","Culex erraticus","Walton County",NA,NA,NA,NA,NA,NA,"light","new jersey trap catch",NA,NA,NA,NA,2015-01-05,NA,0,"female","adult","Walton County",NA,30.3717,-86.2655,NA,NA,NA,NA
"1622440","Mosquito surveillance in South Walton County, Florida, USA. 2015","DOI:10.5281/zenodo.1220173,https://southwaltonmosquitocontrol.org/",NA,"Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Peter J Brabant;Peter J Brabant III",NA,NA,NA,"CC BY","VBP0000263","unpublished","Culex erraticus","Walton County",NA,NA,NA,NA,NA,NA,"light","new jersey trap catch",NA,NA,NA,NA,2015-01-05,NA,0,"female","adult","Walton County",NA,30.365,-86.2261,NA,NA,NA,NA
"1622479","Mosquito surveillance in South Walton County, Florida, USA. 2015","DOI:10.5281/zenodo.1220173,https://southwaltonmosquitocontrol.org/",NA,"Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Peter J Brabant;Peter J Brabant III",NA,NA,NA,"CC BY","VBP0000263","unpublished","Culex erraticus","Walton County",NA,NA,NA,NA,NA,NA,"light","new jersey trap catch",NA,NA,NA,NA,2015-01-22,NA,0,"female","adult","Walton County",NA,30.3813,-86.3593,NA,NA,NA,NA
"1622511","Mosquito surveillance in South Walton County, Florida, USA. 2015","DOI:10.5281/zenodo.1220173,https://southwaltonmosquitocontrol.org/",NA,"Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Peter J Brabant;Peter J Brabant III",NA,NA,NA,"CC BY","VBP0000263","unpublished","Culex erraticus","Walton County",NA,NA,NA,NA,NA,NA,"light","new jersey trap catch",NA,NA,NA,NA,2015-01-22,NA,0,"female","adult","Walton County",NA,30.3776,-86.1523,NA,NA,NA,NA
"1622552","Mosquito surveillance in South Walton County, Florida, USA. 2015","DOI:10.5281/zenodo.1220173,https://southwaltonmosquitocontrol.org/",NA,"Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Peter J Brabant;Peter J Brabant III",NA,NA,NA,"CC BY","VBP0000263","unpublished","Culex erraticus","Walton County",NA,NA,NA,NA,NA,NA,"light","new jersey trap catch",NA,NA,NA,NA,2015-01-22,NA,0,"female","adult","Walton County",NA,30.3551,-86.2404,NA,NA,NA,NA
"1622582","Mosquito surveillance in South Walton County, Florida, USA. 2015","DOI:10.5281/zenodo.1220173,https://southwaltonmosquitocontrol.org/",NA,"Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Peter J Brabant;Peter J Brabant III",NA,NA,NA,"CC BY","VBP0000263","unpublished","Culex erraticus","Walton County",NA,NA,NA,NA,NA,NA,"light","new jersey trap catch",NA,NA,NA,NA,2015-01-22,NA,0,"female","adult","Walton County",NA,30.3972,-86.3963,NA,NA,NA,NA
"1622612","Mosquito surveillance in South Walton County, Florida, USA. 2015","DOI:10.5281/zenodo.1220173,https://southwaltonmosquitocontrol.org/",NA,"Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Peter J Brabant;Peter J Brabant III",NA,NA,NA,"CC BY","VBP0000263","unpublished","Culex erraticus","Walton County",NA,NA,NA,NA,NA,NA,"light","new jersey trap catch",NA,NA,NA,NA,2015-01-22,NA,0,"female","adult","Walton County",NA,30.3892,-86.089,NA,NA,NA,NA
