"","title","dataset_citation","publication_citation","description","url","contact_name","contact_affiliation","email","orcid","dataset_license","project_identifier","publication_status","taxon","location_description","study_collection_area","geo_datum","gps_obfuscation_info","species_id_method","study_design","sampling_strategy","sampling_method","sampling_protocol","measurement_unit","value_transform","sample_start_date","sample_start_time","sample_end_date","sample_end_time","sample_value","sample_sex","sample_stage","sample_location","sample_collection_area","sample_lat_dd","sample_long_dd","sample_environment","additional_location_info","additional_sample_info","sample_name"
"950482","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-02-17,NA,1060,"female","adult","Manatee County",NA,27.616,-82.535,NA,NA,NA,NA
"950485","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-02-17,NA,19,"female","adult","Manatee County",NA,27.591,-82.548,NA,NA,NA,NA
"950490","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-02-17,NA,1230,"female","adult","Manatee County",NA,27.628,-82.497,NA,NA,NA,NA
"950493","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-02-17,NA,745,"female","adult","Manatee County",NA,27.64,-82.553,NA,NA,NA,NA
"950495","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-02-17,NA,250,"female","adult","Manatee County",NA,27.578,-82.484,NA,NA,NA,NA
"950499","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-02-17,NA,3127,"female","adult","Manatee County",NA,27.575,-82.42,NA,NA,NA,NA
"950501","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-02-17,NA,757,"female","adult","Manatee County",NA,27.575,-82.42,NA,NA,NA,NA
"950504","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-02-17,NA,248,"female","adult","Manatee County",NA,27.565,-82.425,NA,NA,NA,NA
"950508","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-03-02,NA,213,"female","adult","Manatee County",NA,27.616,-82.535,NA,NA,NA,NA
"950514","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-03-02,NA,33,"female","adult","Manatee County",NA,27.591,-82.548,NA,NA,NA,NA
"950522","Mosquito surveillance in Manatee County, Florida, USA. 2015","DOI:10.5281/zenodo.1217709,http://www.manateemosquito.com/",NA,"Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Barbara Beyer;Manatee County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000255","published","Culex nigripalpus","Manatee County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2015-03-02,NA,899,"female","adult","Manatee County",NA,27.628,-82.497,NA,NA,NA,NA
