"","title","dataset_citation","publication_citation","description","url","contact_name","contact_affiliation","email","orcid","dataset_license","project_identifier","publication_status","taxon","location_description","study_collection_area","geo_datum","gps_obfuscation_info","species_id_method","study_design","sampling_strategy","sampling_method","sampling_protocol","measurement_unit","value_transform","sample_start_date","sample_start_time","sample_end_date","sample_end_time","sample_value","sample_sex","sample_stage","sample_location","sample_collection_area","sample_lat_dd","sample_long_dd","sample_environment","additional_location_info","additional_sample_info","sample_name"
"1348386","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-03-30,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348429","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-06-12,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348493","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-03-06,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348537","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-10-17,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348581","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-09-18,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348622","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-03-28,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348671","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-02-09,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348712","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-06-08,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348753","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-05-15,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348794","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-12-21,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348843","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-04-19,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348901","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-06-07,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348945","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-10-15,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348987","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-09-14,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349028","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-03-26,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349069","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-02-07,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349110","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-06-06,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349152","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-05-11,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349193","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-12-14,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349238","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-04-17,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
